"GEOID","Neighborhood","Tract","Tractce","NAME","variable","estimate","moe"
48201212500,"East End",2125,212500,"Census Tract 2125, Harris County, Texas","DP03_0062",48252,4714
48201212500,"East End",2125,212500,"Census Tract 2125, Harris County, Texas","DP03_0062",48252,4714
48201212500,"East End",2125,212500,"Census Tract 2125, Harris County, Texas","DP03_0062",48252,4714
48201221800,"EastAldine",2218,221800,"Census Tract 2218, Harris County, Texas","DP03_0062",44313,9425
48201221900,"EastAldine",2219,221900,"Census Tract 2219, Harris County, Texas","DP03_0062",47931,10441
48201222100,"EastAldine",2221,222100,"Census Tract 2221, Harris County, Texas","DP03_0062",31493,6613
48201222200,"EastAldine",2222,222200,"Census Tract 2222, Harris County, Texas","DP03_0062",50204,33349
48201222300,"EastAldine",2223,222300,"Census Tract 2223, Harris County, Texas","DP03_0062",39583,14066
48201222401,"EastAldine",2224.01,222401,"Census Tract 2224.01, Harris County, Texas","DP03_0062",35318,11059
48201222701,"EastAldine",2227.01,222701,"Census Tract 2227.01, Harris County, Texas","DP03_0062",14871,10828
48201222702,"EastAldine",2227.02,222702,"Census Tract 2227.02, Harris County, Texas","DP03_0062",30912,6041
48201222800,"EastAldine",2228,222800,"Census Tract 2228, Harris County, Texas","DP03_0062",35307,5565
48201222900,"EastAldine",2229,222900,"Census Tract 2229, Harris County, Texas","DP03_0062",42225,14803
48201223001,"EastAldine",2230.01,223001,"Census Tract 2230.01, Harris County, Texas","DP03_0062",42333,20821
48201223002,"EastAldine",2230.02,223002,"Census Tract 2230.02, Harris County, Texas","DP03_0062",34003,7176
48201223100,"EastAldine",2231,223100,"Census Tract 2231, Harris County, Texas","DP03_0062",80263,14681
48201233300,"Pasadena",2333,233300,"Census Tract 2333, Harris County, Texas","DP03_0062",57622,16978
48201233703,"Pasadena",2337.03,233703,"Census Tract 2337.03, Harris County, Texas","DP03_0062",50404,20752
48201241502,"EastAldine",2415.02,241502,"Census Tract 2415.02, Harris County, Texas","DP03_0062",49950,29965
48201310101,"East End",3101.01,310101,"Census Tract 3101.01, Harris County, Texas","DP03_0062",84651,4961
48201310101,"East End",3101.01,310101,"Census Tract 3101.01, Harris County, Texas","DP03_0062",84651,4961
48201310102,"East End",3101.02,310102,"Census Tract 3101.02, Harris County, Texas","DP03_0062",79220,2546
48201310200,"East End",3102,310200,"Census Tract 3102, Harris County, Texas","DP03_0062",125125,15136
48201310300,"East End",3103,310300,"Census Tract 3103, Harris County, Texas","DP03_0062",41281,9359
48201310400,"East End",3104,310400,"Census Tract 3104, Harris County, Texas","DP03_0062",43077,6575
48201310500,"East End",3105,310500,"Census Tract 3105, Harris County, Texas","DP03_0062",45912,13331
48201310600,"East End",3106,310600,"Census Tract 3106, Harris County, Texas","DP03_0062",29237,12140
48201310700,"East End",3107,310700,"Census Tract 3107, Harris County, Texas","DP03_0062",34986,21637
48201310800,"East End",3108,310800,"Census Tract 3108, Harris County, Texas","DP03_0062",49464,5775
48201310900,"East End",3109,310900,"Census Tract 3109, Harris County, Texas","DP03_0062",36242,4635
48201311001,"East End",3110.01,311001,"Census Tract 3110.01, Harris County, Texas","DP03_0062",35091,7107
48201311002,"East End",3110.02,311002,"Census Tract 3110.02, Harris County, Texas","DP03_0062",40481,20187
48201311100,"East End",3111,311100,"Census Tract 3111, Harris County, Texas","DP03_0062",38774,6238
48201311200,"East End",3112,311200,"Census Tract 3112, Harris County, Texas","DP03_0062",53802,10516
48201311300,"East End",3113,311300,"Census Tract 3113, Harris County, Texas","DP03_0062",54107,18201
48201311400,"East End",3114,311400,"Census Tract 3114, Harris County, Texas","DP03_0062",40417,23754
48201311400,"East End",3114,311400,"Census Tract 3114, Harris County, Texas","DP03_0062",40417,23754
48201311501,"East End",3115.01,311501,"Census Tract 3115.01, Harris County, Texas","DP03_0062",54541,21078
48201311502,"East End",3115.02,311502,"Census Tract 3115.02, Harris County, Texas","DP03_0062",36205,20290
48201311502,"East End",3115.02,311502,"Census Tract 3115.02, Harris County, Texas","DP03_0062",36205,20290
48201311600,"East End",3116,311600,"Census Tract 3116, Harris County, Texas","DP03_0062",31684,10501
48201320800,"Pasadena",3208,320800,"Census Tract 3208, Harris County, Texas","DP03_0062",43448,17697
48201320901,"Pasadena",3209.01,320901,"Census Tract 3209.01, Harris County, Texas","DP03_0062",54940,19557
48201320902,"Pasadena",3209.02,320902,"Census Tract 3209.02, Harris County, Texas","DP03_0062",79003,22428
48201321401,"Pasadena",3214.01,321401,"Census Tract 3214.01, Harris County, Texas","DP03_0062",57806,12092
48201321401,"Pasadena",3214.01,321401,"Census Tract 3214.01, Harris County, Texas","DP03_0062",57806,12092
48201321402,"Pasadena",3214.02,321402,"Census Tract 3214.02, Harris County, Texas","DP03_0062",78800,21172
48201321500,"Pasadena",3215,321500,"Census Tract 3215, Harris County, Texas","DP03_0062",35411,9842
48201321600,"Pasadena",3216,321600,"Census Tract 3216, Harris County, Texas","DP03_0062",74510,10340
48201322000,"Pasadena",3220,322000,"Census Tract 3220, Harris County, Texas","DP03_0062",45034,8427
48201322100,"Pasadena",3221,322100,"Census Tract 3221, Harris County, Texas","DP03_0062",41763,10701
48201322200,"Pasadena",3222,322200,"Census Tract 3222, Harris County, Texas","DP03_0062",49712,10689
48201322600,"Pasadena",3226,322600,"Census Tract 3226, Harris County, Texas","DP03_0062",65827,3627
48201322701,"Pasadena",3227.01,322701,"Census Tract 3227.01, Harris County, Texas","DP03_0062",62012,13245
48201322702,"Pasadena",3227.02,322702,"Census Tract 3227.02, Harris County, Texas","DP03_0062",91373,26221
48201322800,"Pasadena",3228,322800,"Census Tract 3228, Harris County, Texas","DP03_0062",58420,5575
48201322900,"Pasadena",3229,322900,"Census Tract 3229, Harris County, Texas","DP03_0062",65732,20824
48201323000,"Pasadena",3230,323000,"Census Tract 3230, Harris County, Texas","DP03_0062",39860,8284
48201323100,"Pasadena",3231,323100,"Census Tract 3231, Harris County, Texas","DP03_0062",43090,5594
48201323200,"Pasadena",3232,323200,"Census Tract 3232, Harris County, Texas","DP03_0062",82730,31704
48201323300,"Pasadena",3233,323300,"Census Tract 3233, Harris County, Texas","DP03_0062",35446,9579
48201323400,"Pasadena",3234,323400,"Census Tract 3234, Harris County, Texas","DP03_0062",45672,13136
48201323500,"Pasadena",3235,323500,"Census Tract 3235, Harris County, Texas","DP03_0062",35462,7334
48201323601,"Pasadena",3236.01,323601,"Census Tract 3236.01, Harris County, Texas","DP03_0062",38561,9660
48201323602,"Pasadena",3236.02,323602,"Census Tract 3236.02, Harris County, Texas","DP03_0062",76071,12825
48201323701,"Pasadena",3237.01,323701,"Census Tract 3237.01, Harris County, Texas","DP03_0062",56177,6473
48201323801,"Pasadena",3238.01,323801,"Census Tract 3238.01, Harris County, Texas","DP03_0062",69167,13829
48201323802,"Pasadena",3238.02,323802,"Census Tract 3238.02, Harris County, Texas","DP03_0062",50282,13031
48201323900,"Pasadena",3239,323900,"Census Tract 3239, Harris County, Texas","DP03_0062",33679,4624
48201324000,"Pasadena",3240,324000,"Census Tract 3240, Harris County, Texas","DP03_0062",83693,20567
48201324101,"Pasadena",3241.01,324101,"Census Tract 3241.01, Harris County, Texas","DP03_0062",44161,16246
48201324102,"Pasadena",3241.02,324102,"Census Tract 3241.02, Harris County, Texas","DP03_0062",NA,NA
48201331700,"Hobby/Harbach",3317,331700,"Census Tract 3317, Harris County, Texas","DP03_0062",44792,30147
48201332200,"Hobby/Harbach",3322,332200,"Census Tract 3322, Harris County, Texas","DP03_0062",33295,15139
48201332200,"Hobby/Harbach",3322,332200,"Census Tract 3322, Harris County, Texas","DP03_0062",33295,15139
48201332200,"Hobby/Harbach",3322,332200,"Census Tract 3322, Harris County, Texas","DP03_0062",33295,15139
48201332300,"Hobby/Harbach",3323,332300,"Census Tract 3323, Harris County, Texas","DP03_0062",34621,8659
48201332300,"Hobby/Harbach",3323,332300,"Census Tract 3323, Harris County, Texas","DP03_0062",34621,8659
48201332300,"Hobby/Harbach",3323,332300,"Census Tract 3323, Harris County, Texas","DP03_0062",34621,8659
48201332400,"Hobby/Harbach",3324,332400,"Census Tract 3324, Harris County, Texas","DP03_0062",41033,8671
48201332400,"Hobby/Harbach",3324,332400,"Census Tract 3324, Harris County, Texas","DP03_0062",41033,8671
48201332500,"Hobby/Harbach",3325,332500,"Census Tract 3325, Harris County, Texas","DP03_0062",56964,13991
48201332600,"Hobby/Harbach",3326,332600,"Census Tract 3326, Harris County, Texas","DP03_0062",37279,8464
48201332700,"Hobby/Harbach",3327,332700,"Census Tract 3327, Harris County, Texas","DP03_0062",57661,14350
48201332800,"Hobby/Harbach",3328,332800,"Census Tract 3328, Harris County, Texas","DP03_0062",38493,12251
48201332900,"Hobby/Harbach",3329,332900,"Census Tract 3329, Harris County, Texas","DP03_0062",49609,6872
48201333000,"Hobby/Harbach",3330,333000,"Census Tract 3330, Harris County, Texas","DP03_0062",62155,10966
48201333100,"Hobby/Harbach",3331,333100,"Census Tract 3331, Harris County, Texas","DP03_0062",31639,4971
48201333201,"Hobby/Harbach",3332.01,333201,"Census Tract 3332.01, Harris County, Texas","DP03_0062",45637,13929
48201333203,"Hobby/Harbach",3332.03,333203,"Census Tract 3332.03, Harris County, Texas","DP03_0062",43921,19758
48201333204,"Hobby/Harbach",3332.04,333204,"Census Tract 3332.04, Harris County, Texas","DP03_0062",37635,27018
48201333205,"Hobby/Harbach",3332.05,333205,"Census Tract 3332.05, Harris County, Texas","DP03_0062",21512,9688
48201333501,"Hobby/Harbach",3335.01,333501,"Census Tract 3335.01, Harris County, Texas","DP03_0062",29552,3646
48201333502,"Hobby/Harbach",3335.02,333502,"Census Tract 3335.02, Harris County, Texas","DP03_0062",58272,13553
48201333600,"Hobby/Harbach",3336,333600,"Census Tract 3336, Harris County, Texas","DP03_0062",72929,14224
48201421000,"Gulfton/Sharpstown",4210,421000,"Census Tract 4210, Harris County, Texas","DP03_0062",168654,47198
48201421101,"Gulfton/Sharpstown",4211.01,421101,"Census Tract 4211.01, Harris County, Texas","DP03_0062",47648,7024
48201421103,"Gulfton/Sharpstown",4211.03,421103,"Census Tract 4211.03, Harris County, Texas","DP03_0062",33531,6995
48201421104,"Gulfton/Sharpstown",4211.04,421104,"Census Tract 4211.04, Harris County, Texas","DP03_0062",38431,9443
48201421203,"Gulfton/Sharpstown",4212.03,421203,"Census Tract 4212.03, Harris County, Texas","DP03_0062",42986,16037
48201421204,"Gulfton/Sharpstown",4212.04,421204,"Census Tract 4212.04, Harris County, Texas","DP03_0062",40434,8970
48201421205,"Gulfton/Sharpstown",4212.05,421205,"Census Tract 4212.05, Harris County, Texas","DP03_0062",38488,12252
48201421206,"Gulfton/Sharpstown",4212.06,421206,"Census Tract 4212.06, Harris County, Texas","DP03_0062",26199,1779
48201421301,"Gulfton/Sharpstown",4213.01,421301,"Census Tract 4213.01, Harris County, Texas","DP03_0062",29269,6591
48201421302,"Gulfton/Sharpstown",4213.02,421302,"Census Tract 4213.02, Harris County, Texas","DP03_0062",54333,29991
48201421401,"Gulfton/Sharpstown",4214.01,421401,"Census Tract 4214.01, Harris County, Texas","DP03_0062",31354,3014
48201421402,"Gulfton/Sharpstown",4214.02,421402,"Census Tract 4214.02, Harris County, Texas","DP03_0062",27880,7129
48201421403,"Gulfton/Sharpstown",4214.03,421403,"Census Tract 4214.03, Harris County, Texas","DP03_0062",30348,4639
48201421501,"Gulfton/Sharpstown",4215.01,421501,"Census Tract 4215.01, Harris County, Texas","DP03_0062",26250,11018
48201421502,"Gulfton/Sharpstown",4215.02,421502,"Census Tract 4215.02, Harris County, Texas","DP03_0062",43952,14996
48201421601,"Gulfton/Sharpstown",4216.01,421601,"Census Tract 4216.01, Harris County, Texas","DP03_0062",34551,12299
48201421602,"Gulfton/Sharpstown",4216.02,421602,"Census Tract 4216.02, Harris County, Texas","DP03_0062",40000,15751
48201422701,"Gulfton/Sharpstown",4227.01,422701,"Census Tract 4227.01, Harris County, Texas","DP03_0062",49010,14633
48201422702,"Gulfton/Sharpstown",4227.02,422702,"Census Tract 4227.02, Harris County, Texas","DP03_0062",62250,14023
48201432803,"Gulfton/Sharpstown",4328.03,432803,"Census Tract 4328.03, Harris County, Texas","DP03_0062",37188,8004
48201432804,"Gulfton/Sharpstown",4328.04,432804,"Census Tract 4328.04, Harris County, Texas","DP03_0062",48730,6597
48201432805,"Gulfton/Sharpstown",4328.05,432805,"Census Tract 4328.05, Harris County, Texas","DP03_0062",32983,12524
48201432806,"Gulfton/Sharpstown",4328.06,432806,"Census Tract 4328.06, Harris County, Texas","DP03_0062",33033,3377
